"PLAN","SPECIES","173Q","174Q","175Q","176Q","177Q","178Q","179Q","180Q","181Q","182Q","183Q","184Q","185Q","186Q","187Q","188Q","189Q","190Q","191Q","192Q","193Q","194Q","195Q","196Q","197Q","198Q","199Q","200Q","201Q","202Q","203Q","204Q","205Q","206Q","207Q","208Q","209Q","210Q","211Q","212Q","213Q","214Q","215Q","216Q","217Q","218Q","219Q","220Q","221Q","222Q","223Q","224Q","225Q","226Q","227Q","228Q","229Q","230Q","231Q"
"antiR","apomor",4,-2,-2,4,-2,4,-2,-2,4,-2,-2,-2,-2,-2,1,-2,1,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,2,-2 
"dwbeO","archum",-2,2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,4,-2,4,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2 
"maunO","argsan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,3,-2 
"anthO","athant",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,4,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"virgR","betube",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",4,4,-2,-2,4,-2,-2,-2,-2,4,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4 
"aleuR","bracan",-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,4,-2,-2,-2,-1,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,4 
"cavpO","brasan",3,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,4,4,-2,3,-2,4,3,4 
"kaupO","briins",-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-1,-2,-2,4,4,-2,-2,-2,-2,-2,-1,-2,4,-2,-2,-2,-1,-2,-2,4,4 
